"Job","Location","Salary","Status","Experience","Perusahaan"
"Data Analyst","Jakarta","4700000","Full-Time","1","Infomedia Solusi Humanika"
"Data Analyst","Jakarta","20000000","Full-Time","3","DELOS Aqua"
"Data Analyst","Jakarta","4500000","Full-Time","1","PT Alvindo Catur Sentosa"
"Data Analyst","Jakarta","4600000","Full-Time","1","PT Swapro International"
"Data Analyst","Jakarta","5000000","Full-Time","1","Sinergi Performa Cipta"
"Data Analyst","Jakarta","5000000","Contract","1","Sinergi Performa Cipta"
"Data Analyst","Jakarta","1800000","Full-Time","1","ZERONE JAPAN"
"Data Analyst","Jakarta","1800000","Contract","1","ZERONE JAPAN"
"Data Analyst","Yogyakarta","4500000","Full-Time","1","Mindo Management Solutions"
"Data Analyst","Yogyakarta","2750000","Contract","1","Mindo Management Solutions"
"Data Analyst","Yogyakarta","25000000","Full-Time","2","PT ANUGERAH SENTOSA AGUNG"
"Data Analyst","Jakarta","15000000","Full-Time","3","Vlink Inc"
"Data Analyst","Jakarta","8500000","Contract","3","Vlink Inc"
"Data Analyst","Jakarta","7200000","Full-Time","1","PT SWAKARYA INSAN MANDIRI "
"Data Analyst","Jakarta","16000000","Full-Time","3","PT.SOS Indonesia, Tbk"
"Data Analyst","Jakarta","4400000","Full-Time","1","PT Swakarya Insan Mandiri Jakarta 1"
"Data Analyst","Jakarta","4400000","Contract","1","PT Swakarya Insan Mandiri Jakarta 1"
"Data Analyst","Jakarta","14000000","Full-Time","2","PT QTCOMM TECHNOLOGY INDONESIA"
"Data Analyst","Surabaya","4200000","Full-Time","2","Untung Bersama Sejahtera PT"
"Data Analyst","Semarang","3000000","Full-Time","1","PT Republik Finance Indonesia"
"Data Analyst","Jakarta","8400000","Full-Time","3","PT CREON TEKNOLOGI INDONESIA"
"Data Analyst","Jakarta","5000000","Full-Time","1","Sinergi Inti Solusi"
"Data Analyst","Jakarta","5000000","Part-Time","1","Sinergi Inti Solusi"
"Data Analyst","Jakarta","5000000","Contract","1","Sinergi Inti Solusi"
"Data Analyst","Bogor","4800000","Contract","2","PT Berkah Rosita Mandiri"
"Data Analyst","Jakarta","4650000","Full-Time","1","DELOS Aqua"
"Data Analyst","Jakarta","12000000","Full-Time","3","PT Abishar Technologies Indonesia"
"Data Analyst","Jakarta","8000000","Full-Time","1","R Systems"
"Data Analyst","Jakarta","800000","Contract","1","R Systems"
"Data Analyst","Jakarta","5000000","Full-Time","1","PT. Valdo Sumber Daya Mandiri"
"Data Analyst","Jakarta","4641854","Contract","1","PT. Valdo Sumber Daya Mandiri"
"Data Analyst","Jakarta","25000000","Full-Time","5","Reeracoen Indonesia"
